id;time;time_received;latitude;longitude;altitude;geo_altitude;height;velocity_x;velocity_y;velocity_z;vertical_accuracy;horizontal_accuracy;speed_accuracy;pressure
8114918;2023-04-03 08:55:18+00;2023-04-03 08:55:18.680859+00;50.046783447265625;14.485481262207031;134.65;291.5;Oct.44;-7.4;-3.2;0;4;10;4;997.1812500000001
8114919;2023-04-03 08:55:19+00;2023-04-03 08:55:20.511416+00;50.0467529296875;14.485372543334961;134.86;291.5;Oct.65;-7.6000000000000005;-3.4000000000000004;0;4;10;4;997.15625
8114920;2023-04-03 08:55:20+00;2023-04-03 08:55:20.557288+00;50.046722412109375;14.485272407531738;136.65;292;Dec.44;-7.4;-3.2;0;4;10;4;996.94375
8114921;2023-04-03 08:55:21+00;2023-04-03 08:55:21.925369+00;50.046695709228516;14.485173225402832;135.33;292;11.Dec;-7.2;-3.2;0;4;10;4;997.1
8114922;2023-04-03 08:55:22+00;2023-04-03 08:55:22.672183+00;50.04667663574219;14.485076904296875;133.91;292;09.Jul;-7;-3;0;4;10;4;997.2687500000001
8114923;2023-04-03 08:55:23+00;2023-04-03 08:55:23.72318+00;50.04664993286133;14.484984397888184;134.75;292.5;Oct.54;-6.800000000000001;-2.8000000000000003;0;4;10;4;997.16875
8114924;2023-04-03 08:55:24+00;2023-04-03 08:55:24.436565+00;50.046627044677734;14.484902381896973;133.33;292.5;09.Dec;-6.4;-2.6;0;4;10;4;997.3375000000001
8114925;2023-04-03 08:55:25+00;2023-04-03 08:55:25.763286+00;50.04660415649414;14.48482894897461;132.91;292.5;08.Jul;-5.800000000000001;-2.4000000000000004;0;4;10;4;997.3875
8114926;2023-04-03 08:55:26+00;2023-04-03 08:55:26.347626+00;50.04658508300781;14.484755516052246;132.91;292.5;08.Jul;-5.6000000000000005;-2.4000000000000004;0;4;10;4;997.3875
8114927;2023-04-03 08:55:27+00;2023-04-03 08:55:27.547068+00;50.04656982421875;14.484702110290527;132.22;292.5;08.Jan;-5;-2.2;0;4;10;4;997.46875
8114928;2023-04-03 08:55:28+00;2023-04-03 08:55:28.953402+00;50.04656219482422;14.484675407409668;133.12;292;Aug.91;-4;-1.8;0;4;10;4;997.3625000000001
8114929;2023-04-03 08:55:29+00;2023-04-03 08:55:29.405024+00;50.04655838012695;14.484668731689453;132.85;292;Aug.64;-3;-1.2000000000000002;0;4;11;4;997.3937500000001
8114930;2023-04-03 08:55:30+00;2023-04-03 08:55:30.821212+00;50.04655838012695;14.48466682434082;133.01;292;08.Aug;-2;-1;0;4;11;4;997.375
8114931;2023-04-03 08:55:31+00;2023-04-03 08:55:31.43984+00;50.04655838012695;14.48466682434082;133.28;292;09.Jul;-1.4000000000000001;-0.6000000000000001;0;4;11;3;997.34375